name_id,deltas,s,firstname
1,0.5378796,0.0137214,Adam
2,0.5183938,0.0173332,Aisha
3,0.5376698,0.0174933,Allison
4,0.5321293,0.0138126,Amanda
5,0.5349975,0.0136503,Amy
6,0.5429654,0.0176103,Anne
7,0.5195304,0.0137005,Antwan
8,0.5191337,0.0171587,Brad
9,0.5124635,0.0138957,Bradley
10,0.5348539,0.0173856,Brendan
11,0.5280289,0.0171808,Brett
12,0.5273169,0.0174916,Carrie
13,0.5260304,0.0136642,Chad
14,0.5200323,0.017532,Darnell
15,0.5062785,0.0137207,Donnell
16,0.4948493,0.0173658,Ebony
17,0.5319706,0.0174299,Emily
18,0.5112022,0.0138058,Erin
19,0.4788842,0.0172069,Geoffrey
20,0.5137125,0.0173035,Greg
21,0.5141677,0.0173923,Hakim
22,0.549143,0.0136004,Heather
23,0.5231071,0.0138248,Jacob
24,0.5050443,0.0173073,Jamal
25,0.511581,0.0137598,Jason
26,0.5282691,0.0174053,Jay
27,0.5165567,0.0137762,Jennifer
28,0.530145,0.0136353,Jeremy
29,0.5045394,0.017168,Jermaine
30,0.5149137,0.0174202,Jill
31,0.5045637,0.0135525,Joshua
32,0.5082949,0.0137733,Julie
33,0.495632,0.0136356,Justin
34,0.5228567,0.01755,Kareem
35,0.5121158,0.0173994,Keisha
36,0.4859548,0.0172424,Kenya
37,0.5427917,0.017532,Kristen
38,0.4849729,0.0138026,Lakeisha
39,0.4962962,0.0137493,Lakesha
40,0.4830228,0.0172041,Lakisha
41,0.480915,0.0136894,Lamar
42,0.496978,0.0136203,Lamont
43,0.4996683,0.0138753,Lashonda
44,0.5046561,0.0137691,Latasha
45,0.4739943,0.0137927,Latisha
46,0.5048763,0.0172952,Latonya
47,0.4750718,0.017299,Latoya
48,0.5468522,0.0172252,Laurie
49,0.4771028,0.0137336,Lawanda
50,0.4956731,0.017418,Leroy
51,0.5198153,0.0136809,Lori
52,0.5037281,0.0136384,Marquis
53,0.5249298,0.0172735,Matthew
54,0.4847282,0.0138904,Maurice
55,0.5163847,0.0174783,Meredith
56,0.55433,0.0137249,Misty
57,0.5187072,0.0135906,Nathan
58,0.5333228,0.0173502,Neil
59,0.5152571,0.0136813,Patrice
60,0.5081589,0.0172079,Rasheed
61,0.5160245,0.0137271,Rebecca
62,0.495646,0.0137453,Reginald
63,0.4952836,0.0137443,Roderick
64,0.5377599,0.0173467,Sarah
65,0.5261399,0.0138694,Scott
66,0.5011643,0.0137318,Susan
67,0.4760262,0.0136614,Tameka
68,0.4829698,0.0172353,Tamika
69,0.5408048,0.0174196,Tanisha
70,0.5014312,0.0137029,Tawanda
71,0.5213051,0.0137433,Terrance
72,0.5077116,0.0137234,Terrell
73,0.519908,0.0175341,Todd
74,0.4919754,0.0137075,Tomeka
75,0.5075668,0.0173075,Tremayne
76,0.4855093,0.0173978,Tyrone
